Restaurant Name,Rating,Category,Address
Sharetea (Kingsway),4.8,Bubble tea,"3619 Kingsway, Vancouver, BC V5R 5M1"
Hey! I am Yogost (W Boulevard),4.8,Healthy,"5631 West Boulevard, Vancouver, BC V6M 3W7"
Pizzeria Grano,4.7,Pizza,"3240 Main Street, Vancouver, NAMER V5V 3M5"
Yum Sweet Shop,4.9,Bakery,"4150 Main St, Vancouver, BC V5V 3P7"
Zab Zaab Thai Cuisine,4.9,Thai,"1211 Hamilton St, Vancouver, BC V6B 6K3"
Sun Bo Kong Vegetarian Restaurant 新宝光素食,4.6,Chinese,"1363 Kingsway, Vancouver, BC V5V"
Momo Sushi Gastown,4.9,Sushi,"375 Water St #6, Vancouver, Greater Vancouver V6B"
Sushigo,4.5,Sushi,"570 Bute St, Vancouver, Bc V6E"
The Bubble Tea Shop (Olympic Village),4.7,Bubble tea,"1764 Manitoba Street, Vancouver, BC V5Y"
Virtuous Pie (Main St),4.8,Ice Cream & Frozen Yogurt,"583 Main Street, Vancouver, BC V6A"
Sunflower Bubble Tea,4.8,Asian,"5125 Joyce St, Vancouver, BC V5R"
Simply sushi bar,4.8,Sushi,"3309 West Broadway, 温哥华, BC V6R 2B1"
The First Dessert,4.5,Asian Fusion,"5857 Victoria Dr, Vancouver, BC V5P"
GotLot Tea Metro,4.7,Desserts,"5021 Kingsway, Burnaby, BC V5H 4A5"
Burrata Pizzeria,4.9,Pizza,"2104 W 41st Ave, Vancouver, BC V6M"
Milk & Sugar Cafe,4.7,Asian,"3365 Kingsway, Vancouver, BC V5R"
Pho Central Vietnamese Restaurant,4.9,Vietnamese,"1161 Davie Street, Vancouver, NAMER V6E 1N2"
Sushi Bros,4.8,Sushi,"380 Robson St, Vancouver, BC V6B"
Dolce Amore,4.9,Ice Cream & Frozen Yogurt,"1588 Commercial Dr, Vancouver, BC V5L 3Y2"
Pho Japolo (Kitsilano),5.0,Vietnamese,"2807 Broadway W, Vancouver, Greater Vancouver V6K 2G6"
Naruto Sushi,4.8,Sushi,"2763 Commercial Dr, Vancouver, British Columbia V5N 4C5"
Neptune Chinese Kitchen-Wesbrook,4.7,Chinese,"3337 Shrum Lane, Vancouver, BC V6S"
Indian Delicacy,4.7,Indian,"1130 W Pender St, 105, Vancouver, BC V6E"
The Juice Truck (Main St),4.8,Juice & Smoothies,"4236 Main St, Vancouver, BC V5V 2H1"
Damso (Denman),4.8,Korean,"867 Denman St, Vancouver, BC V6G 2L9"
Tom Sushi,4.9,Sushi,"1175 Davie St, Vancouver, BC V6E"
Cupcakes at Metrotown,4.5,Desserts,"4700 Kingsway , Unit # 1136A, Burnaby, BC V5H"
101 BOBA 50嵐 (Capstan Way),4.9,Asian,"8338 Capstan Way #1228, Richmond, BC V6X"
MIKU Vancouver,4.7,Sushi,"200 Granville St # 70, Vancouver, Bc V6c 1s4, Canada, V6B"
Body Energy Club (Downtown Vancouver),4.5,Healthy,"746 Davie Street, Vancouver, Ca, V6z 2m9,"
Dinesty Dumpling House (Burnaby),4.7,Chinese,"4501 Kingsway #104, Burnaby, BC V5H"
Ba Le Banh Mi,4.7,Sandwiches,"701 Kingsway, Vancouver, British Columbia V5T"
Tea Drop Cafe,New,Bubble tea,"1020 Howe St, Vancouver, BC V6Z 1P5"
Harambe Restaurant,4.6,African,"2149 Commercial Drive, Vancouver, BC V5N 4B3"
Tap & Barrel (Shipyards),4.6,Burgers,"8 Lonsdale Ave, North Vancouver, Bc V7L"
Barcelos Flame Grilled Chicken,4.8,Chicken,"2120 Dollarton Hwy, 119, North Vancouver, British Columbia V7H"
Hanlin Tea House 翰林茶棧,New,Chinese,"8328 Capstan Way #1121, Richmond, BC V6X 4B6"
BT Cafe 大拇指餐廳,New,Chinese,"920 Kingsway, Vancouver, BC V5V 3C4"
Sushi Ville,4.6,Japanese,"2068 Commercial Drive, Vancouver, BC V5N 1L4"
Uma Sushi,4.9,Sushi,"450 W 8th Ave, Vancouver, BC V5Y"
Castella Cheesecake,4.7,Desserts,"1190 Robson St, Vancouver, BC V6E 1Y4"
Ginger Sushi,4.7,Japanese,"1437 Commercial Drive, Vancouver, BC V5L 3X8"
Star 6 Indian Cuisine,4.3,Indian,"4611 Number 6 Road #170, Richmond, NAMER V6V 2L3"
Reggiano's Pizza,4.7,Pizza,"2828 West 4th Avenue, Vancouver, NAMER V6K 1R2"
Tacofino Kitsilano,4.8,Mexican,"1909 W 4th Ave, Vancouver, BC V6J 1M7"
ChongQing Restaurant (Commercial Dr),4.6,Chinese,"2808 Commercial Dr, Vancouver, BC V5N"
Delicious Pho (Robson),4.7,Vietnamese,"255 Robson St., Vancouver, BC V6B 0E7"
Truedan (Jenjudan) 珍煮丹 - Kingsway Burnaby,4.9,Desserts,"4925 Kingsway, Burnaby, BC V5H 2E5"
Bubble World (Vancouver - Robson),4.7,Asian,"1325 Robson St, Vancouver, BC V6E"
COBS bread - Commercial Drive,4.7,PIzza,"1748 Commercial Drive, , Vancouver, BC V5N 4A3"
Pizzeria Ludica Vancouver,4.5,Pizza,"189 Keefer Place, Vancouver, BC V6B"
Modern Handi Indian Cuisine,4.7,Indian,"827 Denman St, Vancouver, BC V6G"
Beeryani Indian Bistro and Bar,4.7,Indian,"1184 Denman St 202, Unit 202, Vancouver, BC V6G 2M9"
Trees Organic Coffee (Burrard),4.6,Coffee & tea,"930 Burrard St, Vancouver, BC V6Z 3G5"
Shizenya Restaurant on Broadway,4.9,Japanese,"1333 W Broadway, Vancouver, BC V6H"
Baba Sweets & Restaurant - Burnaby,4.6,Indian,"7561 6th St, Burnaby, BC V3N 3M4"
