Restaurant Name,Rating,Category,Address,,,,,,
Chicken Plus Hamilton,4.9,Korean,1 Wilson Street,Hamilton,ON,L8r,1c4,,
"GREENLEAF - South Indian Food, Idli, Dosa Restaurant In Hamilton",4.3,Indian,865 Upper James St #2 Hamilton On L9c 3a3 Canada,,ON,L9A,,,
Red Maple Sushi,4.7,Sushi,2732 Barton St E 7,Hamilton,ON,L8E,4M6,,
Indian Spice,3.9,Indian,647 Upper James Street,Hamilton,ON,L9C,2Y9,,
Moghul Fine Indian Restaurant,4.6,Indian,288 Mud Street West,Hamilton,ONJ,,,,
Tea Hut Bubble Tea Smoothies Juice & Snacks,4.6,Asian,100 Main Street East #100,Hamilton,ON,L8N,3W4,,
Lotus Thai & Vietnamese Cuisine,4.6,Comfort food,280 Mud Street West,Stoney Creek,ON,L8J,3Z6,,
Just Jollof,4.2,Nigerian,92-94 Jackson Street East Hamilton,,ON,L8n,3y6,,
Saigon House Restaurant (Hamilton),4.8,Vietnamese,27 John Street South,Hamilton,ON,L8N,,,
Sweet Tooth (Hamilton),4.3,Ice cream & frozen yogurt,15 Cannon Street East,Hamilton,ON,L8L,1Z6,,
Sana Grill (Fennell Ave),4.5,Mediterranean,989 Fennell Ave E,Hamilton,ON,L8T,1R1,,
Royal Paan (Hamilton - Rymel),4.1,Indian,30 Rymal Road East,Hamilton,ON,L9B,,,
Lava Pizza & Wings,4.2,Pizza,387 Barton St E ,Hamilton,ON,L8L,2Y2,,
Industria Pizzeria + Bar (Stoney Creek),4.4,Pizza,1791 Stone Church Road East ,Stoney Creek,ON,L8J,,,
Dim Sum House,4.7,Chinese,173 King Street E,Hamilton,ON,L8N,1B3,,
The Burnt Tongue (Locke),4.9,Comfort food,182 Locke Street South,Hamilton,ON,L8P,4B3,,
Fishing Sushi,4.8,Asian fusion,542 Concession Street,Hamilton,ON,L8V,1A9,,
South Garden Chinese Restaurant,4.5,Chinese,1300 Garth St,Hamilton,ON,L9C,,,
"Popeyes Louisana Kitchen (930 Upper Paradise Rd, Unit 8/9)",4.6,American,930 Upper Paradise Rd,Hamilton,ON,L9B,2N1,,
Fresh Healthy Cafe (Formerly Soulful Delish),4.6,Healthy,33 Brock St,Store,ON,,,,
Food Basics (33 Barrack St),4.2,Everyday Essentials,33 Barrack St,Kingston,ON,K7K,1.00E+07,,
McDonald's (Kingston - 312 Princess),4.6,American,312 Princess St,Kingston,ON,K7L,1B6,,
M&M Food Market (Kingston-Bath),New,Grocery,277 Bath Road,Kingston,ON,K7M2X6,,,
For Thirst and Hunger Beverage and Food Company,New,Canadian,645 Gardiners Rd,Kingston,ON,K7M,8K2,,
A&W (328 King St),4.6,Fast food,328 King Street,Kingston,ON,K7L,3B4,,
Starbucks (Johnson & Division),4.8,Bakery,121 Division Street,Kingston,ON,K7L,3M5,,
Coffee and Company,5,Coffee & tea,53 Princess Street,Kingston,ON,K7K,,,
Tommy's,4.6,Burgers,377 Princess St,Kingston,ON,K7L,,,
The Grocery Basket,4.7,Sandwich,260 Princess Street,Kingston,ON,K7L,,,
The Store Famous,New,Comfort food,406 Barrie Street,Kingston,ON,K7K,3T9,,
Subway (Ontario Street),4.3,American,257 A Ontario St.,Kingston,ON,K7K,,,
Wendy's (1043 Princess St.),4.6,Fast food,1043 Princess Street,Kingston,ON,K7L,1H3,,
Geneva Crepe Bistro,4.8,French,297 Princess St,Kingston,ON,K7L,1B4,,
Juniper Cafe,4.8,Coffee & tea,370 King St W ,Kingston,ON,K7L,,,
Panera Bread (88 Dalton Avenue),4.5,American,88 Dalton Ave,Kingston,ON,K7K,6C3,,
Denny's Canada (670 Gardiners Rd),4.3,Breakfast and brunch,670 Gardiners Rd,Kinston,ON,K7M,3X9,,
Peter's Place Restaurant,4.5,Breakfast & Brunch,34 Princess St,Kingston,ON,K7L,,,
Coco Frutti (Kingston),4.4,Breakfast and brunch,768 Gardiners Rd,Kingston,ON,K7M,3X9,,
Metro (310 Barrie St),4.6,Grocery,310 Barrie St,Kingston,ON,K7L,5L4,,
Quick Stop Convenience,4.7,Convenience,155 Concession St Kingston,,ON,K7k,2b1,,
CocoFrutti (Kingston),4.8,Breakfast and brunch,96 Innovation Drive Kingston,,ON,K7k7e7,Canada,,
Gina's Grill,4.8,Breakfast and brunch,1679 Bath Road,Kingston,ON,K7M,4X2,,
Division Street Market,4.8,Convenience,370 Division St,Kingston,ON,4A5,,,
Balzacs (Kingston),New,Coffee & tea,251 Princess St,Kingston,ON,K7L,1B4,,
Booster Juice - Kingston,4.7,Sandwich,293 Princess Street Kingston,,ON,K7l,1b4,Canada,
Juniper Cafe,4.9,Sandwiches,497 Cataraqui Woods Drive,Kingston,ON,K7P,1T8,,
Stacked Pancake & Breakfast House (Kingston),4.5,Breakfast and brunch,1117 Midland Avenue - Unit 5,Kingston,ON,K7P,2X8,,
Canadian Tire Gas+ (970 Princess St),3.8,Snacks,970 Princess St.,Kingston,ON,K7L,1H2,,
COBS Bread (RioCan Centre Kingston),4.7,Bakery,A003b - 770 Gardiners Rd,Kingston,ON,K7M,0A2,,
Tim Horton's (945 Gardiners Rd-Cataraqui Twn Cntr),4.3,Bakery,945 Gardiners Rd-Cataraqui Twn Cntr,Kingston,ON,K7M,7H4,,
Dollarama (JSM Business Centre),New,Toys,1011 Princess St,Block D,ON,,,,
Meadowbrook Variety,New,Snacks,545 Armstrong Road,Kingston,ON,K7M,7G9,,
Pasha,New,Turkish,61 Division St,Kingston,ON,K7L,3L8,,
Quik Chek Convenience Store,4.8,Ice cream & frozen yogurt,730 Front Road,Kingston,ON,K7M,6P7,,
PetSmart (Kingston),4.8,Retail,690 Gardiners Road,Kingston,ON,K7M,3X9,,
Eggsquis (Kingston),3.7,Breakfast and brunch,2774 Princess St,Kingston,ON,K7P,1W9,,
Pudgyboy's Mini Donuts (Kingston),New,Desserts,377 Princess St.,Kingston,ON,K7L,,,
Walmart (1130 Midland Ave),New,Grocery,1130 Midland Ave,Kingston,ON,K7p,2x9,,
Maverick's Donut Company (Kingston),5,Doughnuts,320 Princess Street Kingston,On K7l 1b6,ON,K7l,1b6,,
